id,ses_parent1_edu,ses_parent2_edu,ses_household_income,ses_school_type,ses_housing_type,ses_household_size,ses_home_area,ses_device_access,ses_internet_quality,ses_lang_cantonese,ses_lang_mandarin,ses_lang_english,ses_lang_other,ses_financial_constraint,ai_course_taken,ai_concept_data_bias_r,ai_ability_training_data,ai_concept_blackbox_r,ai_ability_explainability,ai_concept_input_variation_r,ai_ability_input_sensitivity,ai_concept_prompt_wording_r,ai_ability_prompting,ai_concept_social_ethics_r,ai_ability_social_ethics,med_conceptual_exposure_1,med_conceptual_exposure_2,med_practical_ai_use_1,med_practical_ai_use_2,med_learning_ecology_1,med_learning_ecology_2,med_language_load_1,med_language_load_2,med_epistemic_stance_1,med_epistemic_stance_2,course,ses_parent1_edu_num,ses_parent2_edu_num,ses_household_income_num,ses_school_type_num,ses_housing_type_num,ses_household_size_num,ses_home_area_num,ses_device_access_num,ses_internet_quality_num,ses_financial_constraint_num,ai_course_taken_num,ai_concept_data_bias_r_num,ai_ability_training_data_num,ai_concept_blackbox_r_num,ai_ability_explainability_num,ai_concept_input_variation_r_num,ai_ability_input_sensitivity_num,ai_concept_prompt_wording_r_num,ai_ability_prompting_num,ai_concept_social_ethics_r_num,ai_ability_social_ethics_num,med_conceptual_exposure_1_num,med_conceptual_exposure_2_num,med_practical_ai_use_1_num,med_practical_ai_use_2_num,med_learning_ecology_1_num,med_learning_ecology_2_num,med_language_load_1_num,med_language_load_2_num,med_epistemic_stance_1_num,med_epistemic_stance_2_num,ai_concept_data_bias_scored_num,ai_concept_blackbox_scored_num,ai_concept_input_variation_scored_num,ai_concept_prompt_wording_scored_num,ai_concept_social_ethics_scored_num,ai_ability_training_data_scored_num,ai_ability_explainability_scored_num,ai_ability_input_sensitivity_scored_num,ai_ability_prompting_scored_num,ai_ability_social_ethics_scored_num,ai_lit_score,ses_device_access_scored_num,ses_internet_quality_scored_num,ses_financial_constraint_scored_num,ses_index,conceptual_exposure_score,practical_ai_use_score,learning_ecology_score,language_load_score,epistemic_stance_score,ai_factor1_score,ai_factor2_score,ses_factor1_score,ses_factor2_score
Kgmlt12,2 : Primary education,3 : Secondary education,"3 : HKD 14,800–31,999",2 : Direct Subsidy Scheme (DSS) school,1 : Public Rental Housing (PRH),3 : 3 people,2 : 200–399 square feet (19–37 m$^2$),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,1,0,0,0,3 : Sometimes (around 34-66\%),1,3 : 3 = Not sure,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,2 : 2 = Disagree,3 : 3 = Not sure,4 : 4 = Agree,5 : 5 = Strongly agree,2 : 2 = Disagree,4 : 4 = Agree,2 : 2 = Rarely,2 : 2 = Slightly familiar,3 : 3 = Sometimes,4 : 4 = Often,2 : 2 = Rarely,2 : 2 = Slightly available,3 : 3 = Sometimes,3 : 3 = Sometimes,3 : 3 = Moderately comfortable,2 : 2 = Rarely,1111,2,3,3,2,1,3,2,1,1,3,1,3,4,4,4,2,3,4,5,2,4,2,2,3,4,2,2,3,3,3,2,3,2,4,2,4,4,4,3,5,4,3.5,3,3,2,-0.7924835723089018,2.0,3.5,2.0,3.0,2.5,-0.20363101341730974,0.589494796268552,-1.4051686628433713,-1.2765837282906258
lcmls21,3 : Secondary education,3 : Secondary education,"4 : HKD 32,000–49,999",2 : Direct Subsidy Scheme (DSS) school,3 : Private Housing – Owned,4 : 4 people,5 : 800 square feet or above (74 m$^2$ or above),"1 : Yes, I had my own personal device.",2 : Generally stable but occasionally unreliable,1,0,0,0,1 : Never (0\%),1,4 : 4 = Agree,2 : 2 = Disagree,2 : 2 = Disagree,4 : 4 = Agree,2 : 2 = Disagree,2 : 2 = Disagree,2 : 2 = Disagree,5 : 5 = Strongly agree,2 : 2 = Disagree,5 : 5 = Strongly agree,2 : 2 = Rarely,2 : 2 = Slightly familiar,3 : 3 = Sometimes,2 : 2 = Rarely,2 : 2 = Rarely,4 : 4 = Very available,2 : 2 = Rarely,1 : 1 = Never,4 : 4 = Very comfortable,4 : 4 = Often,1111,3,3,4,2,3,4,5,1,2,1,1,4,2,2,4,2,2,2,5,2,5,2,2,3,2,2,4,2,1,4,4,2,4,4,4,4,2,4,2,5,5,3.6,3,2,4,-0.1492890949355388,2.0,2.5,3.0,1.5,4.0,0.410870339053165,0.17431624636196336,-1.0055334178761466,0.3942079239863678
swisl29,3 : Secondary education,2 : Primary education,"3 : HKD 14,800–31,999",1 : Government or Aided school,2 : Subsidised Home Ownership Housing,6 : 6 or more people,2 : 200–399 square feet (19–37 m$^2$),"2 : Yes, but I shared it with family members.",1 : Stable and high-speed,1,1,1,0,2 : Rarely (around 1-33\%),1,2 : 2 = Disagree,5 : 5 = Strongly agree,3 : 3 = Not sure,2 : 2 = Disagree,4 : 4 = Agree,4 : 4 = Agree,2 : 2 = Disagree,5 : 5 = Strongly agree,2 : 2 = Disagree,5 : 5 = Strongly agree,2 : 2 = Rarely,3 : 3 = Moderately familiar,2 : 2 = Rarely,3 : 3 = Sometimes,2 : 2 = Rarely,1 : 1 = Not available at all,2 : 2 = Rarely,2 : 2 = Rarely,4 : 4 = Very comfortable,3 : 3 = Sometimes,1111,3,2,3,1,2,6,2,2,1,2,1,2,5,3,2,4,4,2,5,2,5,2,3,2,3,2,1,2,2,4,3,4,3,2,4,4,5,2,4,5,5,3.8,2,3,3,-0.9871449762555485,2.5,2.5,1.5,2.0,3.5,0.17552873729245183,0.8961956554876912,-1.6155126005773874,-1.0534643909408337
qwslj20,4 : Post-secondary education (non-degree),2 : Primary education,"2 : HKD 10,700–14,799",1 : Government or Aided school,3 : Private Housing – Owned,3 : 3 people,1 : Less than 200 square feet (less than 19 m$^2$),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,1,0,0,0,1 : Never (0\%),1,1 : 1 = Strongly disagree,1 : 1 = Strongly disagree,1 : 1 = Strongly disagree,1 : 1 = Strongly disagree,1 : 1 = Strongly disagree,1 : 1 = Strongly disagree,1 : 1 = Strongly disagree,1 : 1 = Strongly disagree,1 : 1 = Strongly disagree,1 : 1 = Strongly disagree,1 : 1 = Never,1 : 1 = Not at all familiar,1 : 1 = Never,1 : 1 = Never,1 : 1 = Never,1 : 1 = Not available at all,1 : 1 = Never,1 : 1 = Never,1 : 1 = Not comfortable at all,1 : 1 = Never,1111,4,2,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,3.0,3,3,4,-0.5924925098481345,1.0,1.0,1.0,1.0,1.0,1.7685224099660832,-4.0218061637514815,-1.3341605957483185,-0.8201288797406259
hnmpj02,6 : Postgraduate degree,5 : Bachelor's degree,"5 : HKD 50,000 or above",3 : International school,4 : Private Housing – Rented,5 : 5 people,5 : 800 square feet or above (74 m$^2$ or above),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,0,1,0,0,1 : Never (0\%),1,3 : 3 = Not sure,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,2 : 2 = Disagree,3 : 3 = Not sure,3 : 3 = Not sure,4 : 4 = Agree,3 : 3 = Not sure,4 : 4 = Agree,4 : 4 = Often,2 : 2 = Slightly familiar,3 : 3 = Sometimes,2 : 2 = Rarely,3 : 3 = Sometimes,4 : 4 = Very available,1 : 1 = Never,1 : 1 = Never,3 : 3 = Moderately comfortable,2 : 2 = Rarely,1111,6,5,5,3,4,5,5,1,1,1,1,3,4,4,4,2,3,3,4,3,4,4,2,3,2,3,4,1,1,3,2,3,2,4,3,3,4,4,3,4,4,3.4,3,3,4,0.8203967372476108,3.0,2.5,3.5,1.0,2.5,-0.4455604911986293,-0.08695022287327997,0.8428087855153427,0.6938254334836738
skrlj12,3 : Secondary education,3 : Secondary education,"1 : Below HKD 10,700",1 : Government or Aided school,1 : Public Rental Housing (PRH),3 : 3 people,2 : 200–399 square feet (19–37 m$^2$),"1 : Yes, I had my own personal device.",2 : Generally stable but occasionally unreliable,1,1,1,0,4 : Often (above 67\%),1,4 : 4 = Agree,2 : 2 = Disagree,3 : 3 = Not sure,3 : 3 = Not sure,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Often,4 : 4 = Very familiar,2 : 2 = Rarely,4 : 4 = Often,4 : 4 = Often,4 : 4 = Very available,4 : 4 = Often,3 : 3 = Sometimes,2 : 2 = Slightly comfortable,4 : 4 = Often,1111,3,3,1,1,1,3,2,1,2,4,1,4,2,3,3,4,4,4,4,4,4,4,4,2,4,4,4,4,3,2,4,2,3,2,2,2,2,3,4,4,4,2.8,3,2,1,-1.3663688813978772,4.0,3.0,4.0,3.5,3.0,-1.3788330380988318,-0.6303220847259605,-1.2084369181273225,-2.2885608289173254
ksmlt12,2 : Primary education,3 : Secondary education,"3 : HKD 14,800–31,999",2 : Direct Subsidy Scheme (DSS) school,1 : Public Rental Housing (PRH),3 : 3 people,2 : 200–399 square feet (19–37 m$^2$),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,1,0,0,0,3 : Sometimes (around 34-66\%),1,2 : 2 = Disagree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,2 : 2 = Disagree,3 : 3 = Not sure,2 : 2 = Disagree,4 : 4 = Agree,2 : 2 = Disagree,4 : 4 = Agree,3 : 3 = Sometimes,3 : 3 = Moderately familiar,3 : 3 = Sometimes,3 : 3 = Sometimes,3 : 3 = Sometimes,2 : 2 = Slightly available,5 : 5 = Very often,2 : 2 = Rarely,4 : 4 = Very comfortable,4 : 4 = Often,1111,2,3,3,2,1,3,2,1,1,3,1,2,4,4,4,2,3,2,4,2,4,3,3,3,3,3,2,5,2,4,4,4,2,4,4,4,4,4,3,4,4,3.7,3,3,2,-0.7924835723089018,3.0,3.0,2.5,3.5,4.0,0.2979539575511374,-0.0038186605998032676,-1.4051686628433713,-1.2765837282906258
- cnasv02,3 : Secondary education,5 : Bachelor's degree,"5 : HKD 50,000 or above",2 : Direct Subsidy Scheme (DSS) school,3 : Private Housing – Owned,4 : 4 people,5 : 800 square feet or above (74 m$^2$ or above),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,0,0,0,1,1 : Never (0\%),1,2 : 2 = Disagree,2 : 2 = Disagree,4 : 4 = Agree,2 : 2 = Disagree,3 : 3 = Not sure,4 : 4 = Agree,1 : 1 = Strongly disagree,4 : 4 = Agree,2 : 2 = Disagree,5 : 5 = Strongly agree,2 : 2 = Rarely,3 : 3 = Moderately familiar,4 : 4 = Often,3 : 3 = Sometimes,3 : 3 = Sometimes,1 : 1 = Not available at all,2 : 2 = Rarely,2 : 2 = Rarely,3 : 3 = Moderately comfortable,4 : 4 = Often,1111,3,5,5,2,3,4,5,1,1,1,1,2,2,4,2,3,4,1,4,2,5,2,3,4,3,3,1,2,2,3,4,4,2,3,5,4,2,2,4,4,5,3.5,3,3,4,0.47320928825095476,2.5,3.5,2.0,2.0,3.5,0.2457951825147996,-0.4481643193658563,-0.10323337140433808,0.8593915939931458
Suprd11,6 : Postgraduate degree,5 : Bachelor's degree,"3 : HKD 14,800–31,999",3 : International school,3 : Private Housing – Owned,4 : 4 people,2 : 200–399 square feet (19–37 m$^2$),"1 : Yes, I had my own personal device.",2 : Generally stable but occasionally unreliable,0,0,1,1,3 : Sometimes (around 34-66\%),1,3 : 3 = Not sure,5 : 5 = Strongly agree,3 : 3 = Not sure,4 : 4 = Agree,3 : 3 = Not sure,3 : 3 = Not sure,2 : 2 = Disagree,4 : 4 = Agree,3 : 3 = Not sure,4 : 4 = Agree,3 : 3 = Sometimes,3 : 3 = Moderately familiar,2 : 2 = Rarely,3 : 3 = Sometimes,3 : 3 = Sometimes,3 : 3 = Moderately available,3 : 3 = Sometimes,2 : 2 = Rarely,2 : 2 = Slightly comfortable,4 : 4 = Often,1111,6,5,3,3,3,4,2,1,2,3,1,3,5,3,4,3,3,2,4,3,4,3,3,2,3,3,3,3,2,2,4,3,3,3,4,3,5,4,3,4,4,3.6,3,2,2,-0.3723696909691811,3.0,2.5,3.0,2.5,3.0,-0.24345663834357634,0.16401926970035002,0.8259431330532315,-0.4495771753594392
sbhjh18,5 : Bachelor's degree,5 : Bachelor's degree,"3 : HKD 14,800–31,999",1 : Government or Aided school,3 : Private Housing – Owned,3 : 3 people,5 : 800 square feet or above (74 m$^2$ or above),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,0,1,0,0,1 : Never (0\%),0,2 : 2 = Disagree,4 : 4 = Agree,3 : 3 = Not sure,4 : 4 = Agree,2 : 2 = Disagree,4 : 4 = Agree,2 : 2 = Disagree,2 : 2 = Disagree,2 : 2 = Disagree,5 : 5 = Strongly agree,5 : 5 = Very often,1 : 1 = Not at all familiar,5 : 5 = Very often,2 : 2 = Rarely,3 : 3 = Sometimes,3 : 3 = Moderately available,4 : 4 = Often,5 : 5 = Very often,4 : 4 = Very comfortable,2 : 2 = Rarely,1111,5,5,3,1,3,3,5,1,1,1,0,2,4,3,4,2,4,2,2,2,5,5,1,5,2,3,3,4,5,4,2,4,3,4,4,4,4,4,4,2,5,3.8,3,3,4,0.4450243952289606,3.0,3.5,3.0,4.5,3.0,0.49935995097680214,-0.5929170111816466,0.4050891402221354,0.32599327694694336
